id,app_id,title,price
88ed7ece-f8f7-48f0-af85-e8d0ab4a1d2d,d6e49a3c-2f9f-4bfa-8c26-5d024faf2241,Free,Free
f88514b2-ad9c-4625-adc8-2643625168f1,9e4748a9-7eda-4814-83b6-0537d44152b1,,$7.99/month
002eac81-2169-452d-8491-7125b6d3855f,0ef0087f-3ae5-4dbc-84e0-193b576d82ed,BASIC,$2.95/month
7238abeb-b83b-44a9-bc0f-922b6ccdf90f,d6e49a3c-2f9f-4bfa-8c26-5d024faf2241,Starter,$4.99/month
2a8a95dd-5d6e-4bda-8605-d29816b0ecd5,d1476138-a608-4bb9-8d39-b30f3ca7617d,,$5.99/month
0867fd0b-b063-4dd1-a912-3f38beb5dca6,d6e49a3c-2f9f-4bfa-8c26-5d024faf2241,Pro,$11.99/month
ecaec466-1bd1-4191-8603-b812f1d43797,0ef0087f-3ae5-4dbc-84e0-193b576d82ed,SHOPIFY,$4.95/month
e10045be-89f9-40d2-89fc-fa918506b03d,0ef0087f-3ae5-4dbc-84e0-193b576d82ed,ADVANCED,$8.95/month
7c464bf1-04af-4f6d-aa77-d0d95720747a,d6e49a3c-2f9f-4bfa-8c26-5d024faf2241,Business,$79.99/month
d3231424-8afa-426b-8af3-0ed4a7d49046,0ef0087f-3ae5-4dbc-84e0-193b576d82ed,SHOPIFY PLUS,$16.95/month
4871126a-735e-46ef-8a37-55c27d202299,c13bfb7f-8b5a-40c6-a338-dbdec5cfd130,,$2/month
e833e2a0-aa2d-41c6-bb5c-11e4dd1f211b,6a71634f-f94f-498d-8713-d2b01ca90917,,Free
912e8e61-14db-4b03-baa1-b33b3f92185d,7aac2a1f-ff03-4f38-aeb7-7619403a6f05,,$4.99/month
9311bb15-3d3f-4625-95b9-37a7938dff59,da50f0bf-d116-46a0-b0c1-0d90c05d8ffe,,Free
0f5b1307-452e-4f22-b86c-ce92722be20d,3c89c108-4858-4b07-893a-460ea5a0d91a,,$4.95/month
68b99a8a-32f3-4e8e-9a66-50d4b7ba3b71,89735c3c-4d25-40f2-8b54-150f59cfb099,,Free
fc08be8f-703c-4ebe-8356-36cbddd3dcff,c382563a-9cd7-4b62-ae17-50c4073e47f3,Free,Free
09ad84b5-e7d0-4c03-9206-52678b9ed06d,45819275-6f97-44b2-8f8b-6acd585d693d,,Free
c2c8404b-ccef-4c7d-9512-5f381a231e0f,81de0a93-e81f-4ac3-88d7-7ff114b6ac15,,Free to install
678f639c-53de-4880-811b-7e474a2840bd,04aa830a-7517-42fa-be5e-84d449a85f65,Free Plan,Free
c0c0df7d-8786-41ee-8907-1a11040f99dc,733fd831-b85f-471f-853f-ab43975661c9,Free,Free
46972958-dff9-4e14-9add-10f12c05ae45,c382563a-9cd7-4b62-ae17-50c4073e47f3,Basic plan,$9.95/month
76bf1942-05d7-432a-acae-a269ed0e8fa8,04aa830a-7517-42fa-be5e-84d449a85f65,Advanced Plan,$3.99/month
f1bc361e-ea9c-4a03-ab4a-4c869ebf1e5a,c382563a-9cd7-4b62-ae17-50c4073e47f3,Professional plan,$19.95/month
fdbb2714-c4a9-4c55-b486-14d06b1b11a9,9e6d517f-01ec-42c8-a660-7bef81b741da,Paid Plan,$5/month
b4f9af4f-8b49-45b0-a3a3-e89a8b5b05ec,04aa830a-7517-42fa-be5e-84d449a85f65,Pro Plan,$8.99/month
165a1e20-4346-4fb6-ba98-5ca2b33a004e,733fd831-b85f-471f-853f-ab43975661c9,Premium,$9.99/month
99faf13a-597c-4517-845c-10bdf37a0afc,1264971d-c9eb-46ec-8acf-cb5469cae1c1,,$4.99/month
9855b411-255c-4aa2-a87f-e1f4a4caf454,d07745e1-cbb3-4cbb-b6d8-9316e8319f5f,Trailblazer,$19/month
f5f840c9-0095-4b09-b0ba-ec5e90bb17a2,b37596a5-6aa4-4a4a-8997-b20560a5ef15,,Free
5d46fe7a-5127-4be1-9cb4-c89ad982e36a,aad768ae-c00d-4391-8e0c-84694c21ffb2,Starter,$19/month
1f740a59-a9de-41d8-994a-a12ee1c59097,3f2139a1-1c1d-4c77-8dda-bfd7e6e5bf13,,Free to install
6761aef3-c12f-417d-8a16-b1c3e0a74933,aad768ae-c00d-4391-8e0c-84694c21ffb2,Premium,$69/month
10b54b5d-0730-4221-ac3b-1e8cd433352e,aad768ae-c00d-4391-8e0c-84694c21ffb2,Business,$99/month
c704e3c1-f8ff-43b0-a693-29ff3a1e0794,65a1d3c7-f878-4aa7-a28d-82d1897e5cd7,,$9.85/month
d8640a18-0826-4ff2-ac28-ddd5c17c67eb,7932e175-8298-411e-b0b8-01d36475458b,Unlimited,$9.99/month
1a0e561f-6bd3-4510-9534-a3516432e674,aad768ae-c00d-4391-8e0c-84694c21ffb2,Enterprise,$99/month
9d9b8452-2544-4cf1-8ad4-e34826ceec92,736907d6-f873-4602-840a-c8f1c4699795,Starter Plan,Free
70ab61e6-9cab-4162-a0c7-9d2e80b128f6,736907d6-f873-4602-840a-c8f1c4699795,Pro Plan,$4.99/month
7986648c-b0b4-45b6-bc79-591ffb6f07a8,746466b9-7883-49ac-812a-ffbbdbd4e490,Free,Free
8360e696-8035-4ea4-b35e-d24fb7f05f7b,9dfa400e-36d3-4490-89c9-0699887afe61,Next Level,$2.95/month
a0fd9ba4-0af6-4279-901f-ee8957becbc9,f3ffe5e8-6333-4a5a-a335-4f6ebcaf31b1,NO LIMITS PLAN,$4.99/month
baeb879c-2bda-469c-8c95-42df96b17afa,7278e046-96f5-4863-ac5f-641c9ed52d5f,Free,Free
